	headline	url	date
22	"
Self test: Θα εξαιρεθούν από την 1η Ιουλίου οι εργαζόμενοι που έχουν εμβολιαστεί 
"	https://www.protothema.gr/greece/article/1133141/self-test-skertsos-tha-exairethoun-apo-1i-iouliou-oi-ergazomenoi-pou-ehoun-emvoliastei/	2021-06-12T11:53:00+03:00
23	"
Βρετανία: Ανατροπή στα σχέδια Τζόνσον για πλήρη άρση μέτρων στις 21 Ιουνίου - Πιθανή αναβολή για 19 Ιουλίου
"	https://www.protothema.gr/world/article/1133027/vretania-anatropi-sta-shedia-tzonson-gia-apeleutherosi-stis-21-iouniou-pithani-anavoli-gia-19-iouliou/	2021-06-11T20:37:00+03:00
24	"
Στα Χανιά τον Σεπτέμβρη οι ηγέτες της Μεσογείου για τη σύνοδο της Med7
"	https://www.protothema.gr/politics/article/1132911/sta-hania-ton-septemvri-oi-igetes-tis-mesogeiou-gia-ti-sunodo-tis-med7/	2021-06-11T15:46:00+03:00
25	"
ΠΟΥ: Κίνδυνος για νέο κύμα της πανδημίας το φθινόπωρο στην Ευρώπη
"	https://www.protothema.gr/world/article/1132649/pou-kindunos-gia-neo-kuma-tis-pandimias-to-fthinoporo-stin-europi/	2021-06-10T19:51:00+03:00
26	"
MasterChef: Οι πρώτες δηλώσεις των κριτών μετά τη νίκη της Μαργαρίτας Νικολαΐδη
"	https://www.protothema.gr/life-style/article/1132580/masterchef-oi-protes-diloseis-ton-kriton-meta-ti-niki-tis-margaritas-nikolaidi/	2021-06-10T15:59:00+03:00
27	"
Επεισόδια στην απεργιακή συγκέντρωση των Ιωαννίνων - Προπηλάκισαν πρώην βουλευτή του ΣΥΡΙΖΑ (δείτε βίντεο)
"	https://www.protothema.gr/greece/article/1132578/epeisodia-kai-sublokes-stin-apergiaki-sugedrosi-ton-ioanninon/	2021-06-10T15:59:00+03:00
28	"
Goldman Sachs: Με μαθηματικό μοντέλο προβλέπει ποιος θα... σηκώσει το Euro - Ποια φαβορί θα «καταποντιστούν»
"	https://www.protothema.gr/sports/article/1132564/euro-2020-mathimatiko-modelo-tis-goldman-sachs-provlepei-ton-nikiti-tis-diorganosis/	2021-06-10T15:36:00+03:00
29	"
Κρήτη: «Μυθιστορηματική» κλοπή «ξεχασμένου» εκατομμυρίου σε έπαυλη Ρώσου μεγιστάνα
"	https://www.protothema.gr/greece/article/1132565/kriti-muthistorimatiki-klopi-xehasmenou-ekatommuriou-se-epauli-rosou-megistana/	2021-06-10T15:16:00+03:00
30	"
Ανθή Σαλαγκούδη: «Λύγισε» στον αέρα εκπομπής για την οικογένειά της
"	https://www.protothema.gr/life-style/Gossip/article/1132563/anthi-salagoudi-lugise-ston-aera-ekpobis-gia-tin-oikogeneia-tis/	2021-06-10T14:51:00+03:00
31	"
Ρίκι Μάρτιν: «Οι γιοι μου ανυπομονούν να έρθουν μαζί μου στην περιοδεία, όμως η κόρη μου δεν με αφήνει καν να τραγουδήσω»
"	https://www.protothema.gr/life-style/article/1132551/riki-martin-oi-gioi-mou-anupomonoun-na-erthoun-mazi-mou-stin-periodeia-omos-i-kori-mou-den-me-afinei-kan-na-tragoudiso/	2021-06-10T14:50:00+03:00
32	"
Δημήτρης Μοθωναίος: «Δέχθηκα 40.000 μηνύματα που αφορούσαν ιστορίες κακοποίησης»
"	https://www.protothema.gr/life-style/article/1132558/dimitris-mothonaios-dehthika-40000-minumata-pou-aforousan-istories-kakopoiisis/	2021-06-10T14:18:00+03:00
